baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
isogroup100_c0_g1	14.3285730892955	4.14998250040798	1.49638594151009	2.77333700169623	0.00554846284939131	0.02129351882897
isogroup100_c1_g1	5.21719153905178	4.9884729641547	1.73770010977834	2.8707329510332	0.00409521329519464	0.0177144313837793
isogroup10101_c0_g1	3.62534797521313	1.94622346562124	1.46800156150009	1.32576389335204	0.184917916240162	0.250688208729092
isogroup10103_c2_g1	1.81143534424787	3.51594566609638	1.92162592819662	1.82967226581709	0.0672989604571868	0.11510214035278
isogroup10104_c1_g1	5.08466638545749	4.95931567871471	1.77266042645	2.79766818546654	0.00514729612964549	0.0203198027962071
isogroup10104_c2_g1	6.35992446183484	5.27049924232684	1.7877802423415	2.94806884957176	0.00319765839343064	0.0151236853357136
isogroup10104_c3_g1	31.2968612504719	1.19596502860765	0.657093759579968	1.82008276775013	0.0687464014261916	0.116946592252682
isogroup10105_c1_g1	0	NA	NA	NA	NA	NA
isogroup10105_c3_g1	0	NA	NA	NA	NA	NA
isogroup10108_c0_g1	5.82953789879465	2.30891880896601	1.26957184262644	1.81865943418326	0.0689634042187667	0.117177932449572
isogroup1010_c1_g1	4.25772919950422	4.70387275912414	1.83762393815262	2.5597580992839	0.0104745044473972	0.0321189924711423
isogroup10110_c1_g1	0.0400398700956203	-0.647927017200175	3.80769653887545	-0.170162461893965	0.864882372203106	NA
isogroup10112_c1_g1	0.485759105394924	1.73003401135065	2.70352106565583	0.63991882043315	0.522225377584292	NA
isogroup10113_c17_g1	0.736086994670863	2.24777731999432	2.34038784837882	0.960429409831087	0.336839142371534	NA
isogroup10113_c22_g1	0.454100300945526	1.63313013354278	3.4039492645243	0.479775110211875	0.631387312932401	NA
isogroup10113_c23_g1	4.76584681059805	4.86688827210474	1.84520113584165	2.63759228062951	0.00834969042389812	0.0277427761191453
isogroup10113_c25_g1	3.52072297172909	4.43971516304044	1.93265056039563	2.29721567572546	0.0216064693259215	0.052306772295467
isogroup10113_c27_g1	1.26520246413554	2.65886982226356	2.09317469486952	1.27025700663236	0.203993097353759	NA
isogroup10114_c2_g2	2.04949414356151	2.60112409120369	1.96543183766066	1.32343642825063	0.185690284177837	0.251598516834252
isogroup1011_c0_g1	2.03026228415391	3.63425531653258	2.54303000382725	1.42910437983942	0.152974234854002	0.21394577934997
isogroup10122_c2_g1	10.1420798181727	1.78278239251402	1.28058820108122	1.39215900240904	0.163874254493758	0.226576339355103
isogroup10124_c0_g1	7.48416331309459	2.61393866972597	1.18013419067876	2.21495037629793	0.0267634707980576	0.0604254927213777
isogroup10124_c1_g1	0.360358830860582	1.36920064922273	3.73921255001212	0.366173527423118	0.714235594522478	NA
isogroup10125_c0_g1	0.651199250024886	2.08811384779287	2.42598116863601	0.860729619334551	0.389386975891227	NA
isogroup10125_c1_g1	0.223477089281277	0.80966677885463	3.75326857901962	0.215723112217597	0.829203584424995	NA
isogroup10125_c2_g1	0.485759105394924	1.73003401135065	2.70352106565583	0.63991882043315	0.522225377584292	NA
isogroup10125_c3_g1	0.628394171014454	2.00965770958293	3.12835106186419	0.642401594271638	0.52061246482973	NA
isogroup10127_c1_g1	4.10626649492695	4.65592977885285	1.88873115790777	2.46510984867239	0.01369712523856	0.0383866937372839
isogroup10127_c3_g1	2.28786806441109	3.84276700191407	1.92074016364918	2.00066988478715	0.0454279768823286	0.0875605821392084
isogroup1012_c10_g1	0.0400398700956203	-0.647927017200175	3.80769653887545	-0.170162461893965	0.864882372203106	NA
isogroup1012_c13_g1	26.2429556440075	4.55926316792769	1.08901522552715	4.18659267662738	2.83173339899544e-05	0.00130088341963851
isogroup1012_c3_g1	2.9002623876036	4.17454992309351	1.8510494122881	2.25523419060613	0.0241186328984421	0.0563112176685974
isogroup1012_c6_g1	1.74220655622936	3.45353916437115	1.95925812218372	1.76267696699501	0.0779549876313098	0.127986584840612
isogroup1012_c7_g1	3.67959970381003	2.04368695861632	1.45537348676705	1.40423539194475	0.160248766067748	0.222493751680972
isogroup10131_c0_g1	0	NA	NA	NA	NA	NA
isogroup10131_c1_g1	1.10267574707688	2.65644940126075	2.36651238495944	1.12251658522644	0.261642859801074	NA
isogroup10132_c0_g1	1.13517382857757	-0.0958379566918103	2.36875723681952	-0.0404591720933335	0.967727056320826	NA
isogroup10133_c7_g1	18.2484519555807	-1.53129763545057	0.900991994910317	-1.69956852458272	0.0892121150173208	0.141451034682777
isogroup10133_c8_g1	24.2656864524181	1.42602807201534	1.00666372249169	1.41658832056214	0.15660332521661	0.218199716522178
isogroup10133_c8_g2	6.75130885621574	-0.741212560507616	1.45363848595097	-0.509901579843435	0.610120415088512	0.677191765399298
isogroup10133_c9_g1	33.8870481151598	4.16553230177794	1.06969231517314	3.89414062594599	9.85474708263098e-05	0.00217764961799353
isogroup10137_c3_g1	3.26382789060301	2.50613663648487	1.72484719501473	1.45296153985598	0.14623443274185	0.206321384658084
isogroup10137_c4_g1	7.61434795663882	-0.00882002575162623	1.21012740589118	-0.00728851004339569	0.994184661852596	0.995267900100973
isogroup10137_c5_g1	3.89025033274189	4.58672515141558	1.79528286641688	2.55487602383797	0.0106225625196817	0.0323457306656347
isogroup10137_c6_g1	13.5961136140109	4.59976918188755	1.45361865131762	3.16435756910393	0.00155425715179936	0.00982711593587884
isogroup10139_c0_g1	0	NA	NA	NA	NA	NA
isogroup10139_c4_g1	4.94793508077613	4.78091729064955	1.67063556259548	2.86173561588858	0.00421328206125345	0.0180275184779875
isogroup10139_c5_g1	0.7859298475034	2.01121698764584	2.20958765550607	0.910222766059581	0.362705040199315	NA
isogroup10139_c6_g1	1.44127746836283	3.17895821451708	2.21072810819924	1.43796887673651	0.150442885111267	NA
isogroup1013_c2_g1	18.2568768146795	4.07079729027732	1.27050873064379	3.20406872624524	0.00135500127392074	0.00902145585005125
isogroup10140_c0_g1	0.298748825017781	1.15053710975333	3.10117055729531	0.37100091352498	0.710636851298101	NA
isogroup10141_c1_g1	0.295175763826296	1.1185621956083	3.74487023336267	0.298691844017222	0.765175180665636	NA
isogroup10141_c4_g1	0.0716986745450184	-0.437108706745084	3.80398395114582	-0.114908136406154	0.908517935897653	NA
isogroup10144_c1_g1	5.13982689671038	4.89220376568947	1.50318292647376	3.25456315364481	0.00113566906715451	0.00814940511074709
isogroup10144_c2_g1	8.57249954718639	5.69913265049863	1.62708913665393	3.50265546128515	0.000460644884637339	0.00495554271595642
isogroup10146_c15_g1	0.664388320125844	2.11811136838733	2.42571031520415	0.873192217187345	0.382558316239311	NA
isogroup10146_c19_g1	0.326834568275694	1.22937159805409	3.74225221288502	0.32851115534683	0.742525211142791	NA
isogroup10146_c20_g1	0.816166734862103	2.39482416082904	2.29035359518015	1.04561329127028	0.295739610242015	NA
isogroup10146_c22_g1	0.868633391588175	2.4360451278273	2.873889762338	0.847647380129676	0.39663437924963	NA
isogroup10146_c24_g1	14.0286914258362	6.3937760738055	1.6706064283601	3.82721864663345	0.000129599387599877	0.00247529158570138
isogroup10146_c27_g1	83.7554209175779	2.41620116915373	0.876598223216572	2.75633820051308	0.00584525238817661	0.0220789300016109
isogroup10146_c28_g1	25.508615233859	7.24370015645251	1.5754667351107	4.59781218798221	4.2695059575619e-06	0.000638980678461622
isogroup10147_c2_g1	3.91022790605812	-3.78374579071063	2.12473147654714	-1.78081128484975	0.0749432852621848	0.124456329035575
isogroup10149_c1_g1	37.5331822164794	4.17743033038639	1.26803972432462	3.29440020706872	0.00098631959638625	0.00752493385912532
isogroup10149_c3_g1	2.21446178681007	3.79297069673337	2.00959930299355	1.88742635961471	0.0591030024732257	0.105142271902079
isogroup10149_c4_g1	5.9063631336596	-0.914897025145033	1.2203230762226	-0.74971705687728	0.453425132364662	0.531594528924775
isogroup1014_c0_g1	1.50617091171936	3.25038161790588	2.09851317678054	1.54889740692145	0.121406384405672	0.177764588880925
isogroup1014_c1_g1	0.213861080371804	0.765797275829186	3.75460598232395	0.203962088015208	0.838383125486247	NA
isogroup10150_c1_g1	844.049463922661	0.074089833682804	0.493062547643899	0.150264574011639	0.880555881445719	0.906413351164451
isogroup10151_c0_g1	94.0743118558797	0.192053801599485	0.489380808601154	0.392442446095203	0.694731328766989	0.751932841855374
isogroup10153_c0_g1	2.49350593421616	3.9507498757051	2.0874608382112	1.89261029638793	0.0584097134807704	0.104280872185908
isogroup10155_c0_g1	0.387682290647988	1.43670194451782	3.54747952448617	0.404992314853717	0.685483159993799	NA
isogroup10157_c2_g1	0.873914055835656	2.46764922913139	2.3921170764131	1.03157544146274	0.302271050006949	NA
isogroup10157_c3_g1	0.926197676446747	2.56627239393149	2.42823748607064	1.05684571984934	0.290582004508898	NA
isogroup10157_c5_g1	0.0800797401912405	-0.223179251297377	3.7974125296458	-0.0587714001455074	0.953134188449564	NA
isogroup10157_c6_g1	16.9659329031368	2.78596358802586	1.20597501436272	2.31013375471802	0.0208807501873764	0.0509885009378086
isogroup10157_c7_g1	24.7376166707337	7.20128920501592	1.65787806334256	4.34367844309183	1.40116564612459e-05	0.000999408076098686
isogroup10158_c1_g1	2.61160978989027	1.961501909345	1.52153452796529	1.28916030053427	0.197342363454254	0.264512103717822
isogroup10159_c2_g1	0.320318960764962	1.23634020963736	3.74209392710283	0.330387273468185	0.741107356467377	NA
isogroup1015_c9_g1	3.44056970043548	4.34946775638558	1.58062551809472	2.75173828752836	0.00592798747627965	0.0222643884194092
isogroup10161_c0_g1	0.343596699568138	1.3027082290977	3.67413492353898	0.35456189176714	0.722917829532113	NA
isogroup10163_c2_g1	0	NA	NA	NA	NA	NA
isogroup10163_c3_g1	17.5264048256199	1.2952836213254	0.984573893075347	1.31557786615643	0.188315766572674	0.254504013088114
isogroup10164_c0_g1	9.93264446276398	5.90914314568532	1.56139932616489	3.78451754568087	0.000154007042934182	0.00269947299489536
isogroup10166_c0_g1	0.146970410281522	0.367122732209341	3.76868656808929	0.0974139731645213	0.922397648523839	NA
isogroup10166_c14_g1	0.183437219185657	0.585245216916472	3.76053292571374	0.155628265588286	0.876326043684414	NA
isogroup10166_c17_g1	3.18300223841001	-0.629331981004045	1.52154197470719	-0.413614603780586	0.67915637634969	0.738969886682656
isogroup10166_c19_g1	0.979426616643326	2.63858303906205	2.49643641419494	1.05693981391188	0.290539056407851	NA
isogroup10166_c23_g1	0.857628522048418	2.18243014142757	2.12329363043148	1.02785131088255	0.304019775594518	NA
isogroup10166_c27_g1	7.59628263494862	3.72680612720431	1.37228634744818	2.71576419464818	0.00661229954279873	0.0238184982534761
isogroup10166_c29_g1	0.688901002192272	2.13740905137703	2.53610012157351	0.842793639413133	0.39934386593338	NA
isogroup1016_c0_g1	0.0800797401912405	-0.223179251297377	3.7974125296458	-0.0587714001455074	0.953134188449564	NA
isogroup1016_c1_g1	29.5800140871358	-1.72983364678589	0.779203477985665	-2.22000247131561	0.0264185998582972	0.0599414475859494
isogroup10170_c2_g1	1.70931280851671	3.43433018294348	1.93527153359477	1.77459861488492	0.0759641861151115	0.125578295171544
isogroup10173_c10_g1	47.7759859259053	-0.0379519366548812	0.689327951933164	-0.0550564307575924	0.956093506683092	0.966287538236663
isogroup10173_c11_g1	33.7164032221076	0.898439284219012	0.847864317086497	1.05964983560849	0.289303932423778	0.364476161051398
isogroup10173_c8_g1	48.742489033777	3.58713357147237	1.46569191328966	2.44739944250717	0.0143891271012417	0.0396262804553361
isogroup1017_c4_g1	8.14388671409862	-0.669221502545439	1.1396322540353	-0.587225835505977	0.557052043141279	0.629430297645822
isogroup10180_c4_g1	7.88631208173085	0.90279363408994	1.03323662023102	0.873753036248448	0.382252761251971	0.460428237989075
isogroup10183_c0_g1	206.859805463334	2.36245856133771	1.43741966117557	1.64354128800883	0.1002709901319	0.154155057219955
isogroup10187_c6_g1	0.191818284831879	0.653983231397244	3.75819372590886	0.174015306046814	0.861853433268094	NA
isogroup10187_c7_g1	2.05225120807563	2.50073149636031	1.89880971840558	1.31699952455487	0.187838783930976	0.253977356601584
isogroup10187_c8_g1	2.48559752836268	3.95182944473262	2.00039859740486	1.97552100359367	0.0482090534658915	0.0912927680863058
isogroup10187_c9_g1	9.1544660714803	5.78607328402442	1.77263583692212	3.26410713554734	0.00109809634000601	0.00802069782739953
isogroup10189_c1_g1	20.2929559151671	-0.231338982119444	1.03997832265408	-0.222445965536141	0.82396673269779	0.860904192764263
isogroup10189_c2_g1	0.927619593537441	2.40263707223136	3.02825839394525	0.793405568373964	0.427541567530248	NA
isogroup1018_c3_g1	11.5974375601716	1.44699121368628	1.47337150502106	0.982095288768054	0.326052906258329	0.402795668003089
isogroup1018_c4_g1	23.8555922582684	2.57037678078152	0.888124458237256	2.89416281349034	0.00380170979338179	0.0169086491370868
isogroup10190_c10_g1	2.23416646442176	3.80557153784863	1.97407929486198	1.92777035236302	0.0538836969450805	0.0986934946564128
isogroup10190_c12_g1	3.91463124621005	4.59513477286966	1.80762795349958	2.54207994735502	0.0110194965082124	0.0330698556891635
isogroup10190_c9_g1	4.19924568154138	4.69189427600563	1.82964216096855	2.56437809321244	0.0103360881487768	0.0318399666160574
isogroup10191_c2_g1	1.03983079797082	2.53744134908285	2.03684925646365	1.24576786476989	0.212849630456465	NA
isogroup10191_c3_g1	0.923097275048006	2.56866013665972	2.22099063157193	1.15653803313962	0.247461152093274	NA
isogroup10192_c0_g1	9.99707047610321	3.20307278897324	1.47074740135267	2.17785378102815	0.0294169244251011	0.0644781619160821
isogroup10194_c0_g1	0.588933389863012	0.57607682268613	2.67719045286359	0.215179619391644	0.829627280119897	NA
isogroup101_c4_g1	30.3904868178362	3.2740930624244	1.27710295609207	2.56368763912591	0.0103566703352266	0.031858395425912
isogroup101_c5_g1	14.3211599672376	6.415091841149	1.94602968283636	3.29650256505796	0.000978967206683178	0.00748569011260107
isogroup101_c6_g1	20.3581629077369	6.9182552424486	1.85394356728824	3.7316428420569	0.000190235090069709	0.00305778384965094
isogroup10200_c1_g1	0	NA	NA	NA	NA	NA
isogroup10201_c3_g1	16.9981688867647	-0.538265685646031	1.01119116165397	-0.532308534783482	0.594512322003938	0.663114280571385
isogroup10203_c0_g1	6.699922919176	5.34564244871438	1.7952301683114	2.97769196567285	0.00290427708276299	0.0142295719993807
isogroup10204_c2_g1	0.72647098576139	2.22486616937916	2.44221171279241	0.911004626554372	0.362292935962109	NA
isogroup10206_c1_g1	0.0400398700956203	-0.647927017200175	3.80769653887545	-0.170162461893965	0.864882372203106	NA
isogroup10206_c2_g1	0.508274560727593	1.7474702982344	3.41912763931724	0.511086593591853	0.609290423012852	NA
isogroup10206_c3_g1	0.205480014725582	0.704382698843236	3.75654405497889	0.187508169353066	0.851262219069018	NA
isogroup10208_c0_g1	0.0800797401912405	-0.223179251297377	3.7974125296458	-0.0587714001455074	0.953134188449564	NA
isogroup10209_c0_g1	0.437338169653082	1.59376418007699	2.70889196806477	0.588345419036983	0.556300465372046	NA
isogroup1020_c1_g1	0.707528591620206	2.16591284382242	3.15331036542705	0.686869541155708	0.49216494252057	NA
isogroup10210_c1_g1	0.334453350451409	1.25665742623682	3.74163660880847	0.335857689460923	0.736978184443456	NA
